twitter	name_first	name_middle	name_last	state	position	party	inactive 
GarbarinoforNY	Andrew		Garbarino	N.Y.	House Candidate	Republican	
heaneyny	Andrew		Heaney	N.Y.	House Candidate	Republican	inactive 
JanzforCongress	Andrew		Janz	Calif.	House Candidate	Democrat	inactive 
NYGovCuomo	Andrew		Cuomo	N.Y.	Governor	Democrat	
RepGarbarino	Andrew		Garbarino	N.Y.	House Representative	Republican	
Romanoff2020	Andrew		Romanoff	Colo.	Senate Candidate	Democrat	inactive 
Straw4Congress	Andrew		Straw	Ind.	Senate Candidate	Republican	inactive 
WangCongress	Andrew		Wang	Ill.	House Candidate	Democrat	inactive 
AndrewPBales	Andy		Bales	Ind.	House Candidate	Republican	inactive 
Andy_Levin	Andy		Levin	Mich.	House Candidate	Democrat	
Andy_Tobin	Andy		Tobin	Ariz.	House Candidate	Republican	inactive 
Andy4DC	Andy		Shallal	D.C.	Gubernatorial Candidate	Democrat	inactive 
andybaan	Andy		Baan	Va.	House Candidate	Republican	
AndyBeshearKY	Andy		Beshear	Ky.	Gubernatorial Candidate	Democrat	
andybiggs4az	Andy		Biggs	Ariz.	House Representative	Republican	
AndyColeman79	Andy		Coleman	Okla.	House Candidate	Republican	inactive 
AndyKimNJ	Andy		Kim	N.J.	House Candidate	Democrat	
AndyRuffIN9	Andy		Ruff	Ind.	House Candidate	Democrat	inactive 
andyshallal	Andy		Shallal	D.C.	Gubernatorial Candidate	Democrat	inactive 
AndyThorburnCA	Andy		Thorburn	Calif.	House Candidate	Democrat	inactive 
barrforcongress	Andy		Barr	Ky.	House Candidate	Republican	
BlalockFor	Andy		Bladlock	Ala.	House Candidate	Republican	
Caldwell_CA24	Andy		Caldwell	Calif.	House Candidate	Republican	inactive 
Harris4Congress	Andy		Harris	Md.	House Candidate	Republican	
MatthewsForNV	Andy		Mathews	Nev.	House Candidate	Republican	inactive 
MeehanCampaign	Andy		Meehan	Pa.	House Candidate	Republican	inactive 
RepAndyBarr	Andy		Barr	Ky.	House Representative	Republican	
RepAndyBiggsAZ	Andy		Biggs	Ariz.	House Representative	Republican	
RepAndyHarrisMD	Andy		Harris	Md.	House Representative	Republican	
RepAndyKimNJ	Andy		Kim	N.J.	House Representative	Democrat	
RepAndyLevin	Andy		Levin	Mich.	House Representative	Democrat	
SenatorSanborn	Andy		Sanborn	N.H.	House Candidate	Republican	inactive 
AngelForRI	Angel		Taveras	R.I.	Gubernatorial Candidate	Democrat	inactive 
Anthony_A_Rios	Angel		Rios	Calif.	House Candidate	Democrat	
hiro4you2	Angel		Cadena	Conn.	House Candidate	Republican	inactive 
LaraForCongress	Angel		Lara	Calif.	House Candidate	Democrat	
MontalvoFL27	Angel		Montalvo	Fla.	House Candidate	Democrat	
realAngelUrbina	Angel		Urbina	Fla.	House Candidate	Republican	
ajaywalls	Angela		Walls-Windhauser	Fla.	Senate Candidate	Republican	
angeladflynn	Angela	Darrow	Flynn	N.C.	House Candidate	Democrat	inactive 
AngelaForCA25	Angela	Underwood	Jacobs	Calif.	House Candidate	Republican	inactive 
RomanForOregon	Angela		Roman	Ore.	House Candidate	Republican	inactive 
theangiestanton	Angela	Stanton	King	Ga.	House Candidate	Republican	inactive 
Angelica4CA	Angelica		Duenas	Calif.	House Candidate	Democrat	inactive 
itsnotokayfl	Angelika		Purkis	Fla.	House Candidate	Independent	inactive 
CandidateSigala	Angelina		Sigala	Calif.	House Candidate	Democrat	
AngieCraigMN	Angie		Craig	Minn.	House Candidate	Democrat	
AngieForNe	Angie		Philips	Neb.	Senate Candidate	Democrat	inactive 
RepAngieCraig	Angie		Craig	Minn.	House Representative	Democrat	
Angus4Congress	Angus		McQuilken	Mass.	House Candidate	Democrat	inactive 
angusking2018	Angus		King	Maine	Senator	Independent	
SenAngusKing	Angus		King	Maine	Senator	Independent	
AVOrtega3	Anibal	Valdez	Ortega	Calif.	House Candidate	Democrat	inactive 
AnitaMalik	Anita		Malik	Ariz.	House Candidate	Democrat	inactive 
Ann_Ashford	Ann	Ferlic	Ashford	Neb.	House Candidate	Democrat	inactive 
Ann_Kirkpatrick	Ann		Kirkpatrick	Ariz.	House Candidate	Democrat	
AnnLWagner	Ann	L	Wagner	Mo.	House Candidate	Republican	
AnnMcLaneKuster	Ann		Kuster	N.H.	House Candidate	Democrat	
callis4illinois	Ann		Callis	Ill.	House Candidate	Democrat	inactive 
RepAnnWagner	Ann		Wagner	Mo.	House Representative	Republican	
RepKirkpatrick	Ann		Kirkpatrick	Ariz.	House Representative	Democrat	inactive 
Eshoo4Congress	Anna		Eshoo	Calif.	House Representative	Democrat	
Little4Congress	Anna		Little	N.J.	House Candidate	Republican	inactive 
